,film,make,movi,out,on,charact
Paragraph 1,0,0,0,1,1,0
Paragraph 2,1,0,0,0,1,0
Paragraph 3,0,0,0,0,1,1
Paragraph 4,0,1,1,1,0,0
Paragraph 5,2,1,1,1,6,2
Paragraph 6,1,0,2,0,2,0
Paragraph 7,0,0,9,0,4,1
Paragraph 8,0,0,0,1,1,0
Paragraph 9,0,0,1,6,0,0
Paragraph 10,1,1,3,0,0,1
Paragraph 11,0,1,3,2,0,0
Paragraph 12,2,3,5,0,1,0
Paragraph 13,1,0,6,0,4,1
Paragraph 14,1,0,1,0,3,1
Paragraph 15,6,1,4,1,1,1
Paragraph 16,0,0,0,1,0,0
Paragraph 17,2,0,0,0,0,1
Paragraph 18,12,7,1,0,2,0
Paragraph 19,6,0,3,3,1,1
Paragraph 20,4,3,2,2,0,0
Paragraph 21,7,3,0,1,1,4
Paragraph 22,3,2,5,1,0,2
Paragraph 23,1,1,5,1,0,1
Paragraph 24,2,0,0,1,0,0
Paragraph 25,9,2,3,0,1,0
Paragraph 26,0,0,1,1,0,3
Paragraph 27,2,0,1,1,1,0
Paragraph 28,7,0,0,0,0,0
Paragraph 29,0,0,4,1,1,1
Paragraph 30,4,2,0,1,2,3
Paragraph 31,1,0,1,0,2,0
Paragraph 32,0,1,0,0,1,0
Paragraph 33,1,0,4,1,1,1
Paragraph 34,0,1,2,1,2,0
Paragraph 35,9,3,11,4,4,5
Paragraph 36,5,1,0,1,1,0
Paragraph 37,2,0,2,0,0,0
Paragraph 38,2,3,3,0,0,0
Paragraph 39,3,1,1,1,3,0
Paragraph 40,6,1,0,3,0,3
Paragraph 41,4,1,0,1,2,2
Paragraph 42,1,1,2,2,0,1
Paragraph 43,3,1,1,1,0,3
Paragraph 44,16,0,8,1,1,1
Paragraph 45,3,1,5,2,2,3
Paragraph 46,0,0,0,0,3,0
Paragraph 47,1,0,3,2,6,1
Paragraph 48,3,2,5,1,0,2
Paragraph 49,6,1,2,1,3,2
Paragraph 50,1,0,0,1,0,1
Paragraph 51,6,4,1,3,3,1
Paragraph 52,2,2,3,1,0,2
Paragraph 53,3,1,2,0,0,1
